Emoji,ASCII Code,Hex Color
🧏🏾‍♀️,129487,#b48a53
🧏🏿‍♀️,129487,#947b51
🙇,128583,#c3a868
🙇🏻,128583,#dec396
🙇🏼,128583,#d2b485
🙇🏽,128583,#c4a273
🙇🏾,128583,#b38f60
🙇🏿,128583,#97825e
🙇‍♂️,128583,#c3a868
🙇🏻‍♂️,128583,#e6cba5
🙇🏼‍♂️,128583,#d7b88f
🙇🏽‍♂️,128583,#c49f76
🙇🏾‍♂️,128583,#ae875e
🙇🏿‍♂️,128583,#89765b
🙇‍♀️,128583,#c3a868
🙇🏻‍♀️,128583,#e6cba5
🙇🏼‍♀️,128583,#d7b88f
🙇🏽‍♀️,128583,#c49f76
🙇🏾‍♀️,128583,#ae875e
🙇🏿‍♀️,128583,#89765b
🤦,129318,#dbba62
🤦🏻,129318,#e9cb92
🤦🏼,129318,#debd81
🤦🏽,129318,#cfab70
🤦🏾,129318,#bf985d
🤦🏿,129318,#a48c5c
🤦‍♂️,129318,#dbba62
🤦🏻‍♂️,129318,#ecd0a2
🤦🏼‍♂️,129318,#debd8c
🤦🏽‍♂️,129318,#cba575
🤦🏾‍♂️,129318,#b68d5d
🤦🏿‍♂️,129318,#917c5a
🤦‍♀️,129318,#dbba62
🤦🏻‍♀️,129318,#ecd0a2
🤦🏼‍♀️,129318,#debd8c
🤦🏽‍♀️,129318,#cba575
🤦🏾‍♀️,129318,#b68d5d
🤦🏿‍♀️,129318,#917c5a
🤷,129335,#c5b68f
🤷🏻,129335,#e1cbaa
🤷🏼,129335,#d5bb98
🤷🏽,129335,#c5a785
🤷🏾,129335,#b39371
🤷🏿,129335,#95856f
🤷‍♂️,129335,#c5b68f
🤷🏻‍♂️,129335,#e4ccae
🤷🏼‍♂️,129335,#d4b897
🤷🏽‍♂️,129335,#c09e7e
🤷🏾‍♂️,129335,#a98464
🤷🏿‍♂️,129335,#827261
🤷‍♀️,129335,#c5b68f
🤷🏻‍♀️,129335,#e4ccae
🤷🏼‍♀️,129335,#d4b897
🤷🏽‍♀️,129335,#c09e7e
🤷🏾‍♀️,129335,#a98464
